"","Elevation (ft)","Live Storage (ac-ft)","Total Storage (ac-ft)","Area (acres)","EvapVolMax","EvapVolMaxUp","EvapVolMaxLo","EvapVolMin"
"46",917.5,735262,2770262,35333.0000001,211998.0000006,226131.20000064,194331.50000055,207753
"47",918,752958,2787958,35451.0000001,212706.0000006,226886.40000064,194980.50000055,208461
"48",918.5,770713,2805713,35568.9999999,213413.9999994,227641.59999936,195629.49999945,209168
"49",919,788526,2823526,35686.0000001,214116.0000006,228390.40000064,196273.00000055,209875
"50",919.5,806399,2841399,35804.0000001,214824.0000006,229145.60000064,196922.00000055,210582
"51",920,824331.000002,2859331.000002,35921.9999999,215531.9999994,229900.79999936,197570.99999945,211290.000002
"52",920.5,842319.999998,2877319.999998,36036.0000001,216216.0000006,230630.40000064,198198.00000055,211995.999998
"53",921,860367.000004,2895367.000004,36150.0000001,216900.0000006,231360.00000064,198825.00000055,212700.000004
"54",921.5,878470.999998,2913470.999998,36264,217584,232089.6,199452,213402.999998
"55",922,896630.999998,2931630.999998,36378,218268,232819.2,200079,214102.999998
"56",922.5,914849.000001,2949849.000001,36491.9999999,218951.9999994,233548.79999936,200705.99999945,214802.000001
"57",923,933123.000002,2968123.000002,36607.0000001,219642.0000006,234284.80000064,201338.50000055,215498.000002
"58",923.5,951454.999997,2986454.999997,36721,220326,235014.4,201965.5,216192.999997
"59",924,969843.999996,3004843.999996,36835,221010,235744,202592.5,216885.999996
"60",924.5,988290,3023290,36948.9999999,221693.9999994,236473.59999936,203219.49999945,217577
"61",925,1006793,3041793,37062.9999999,222377.9999994,237203.19999936,203846.49999945,218267
"62",925.5,1025353,3060353,37177.0000001,223062.0000006,237932.80000064,204473.50000055,218954
"63",926,1043970,3078970,37291.0000001,223746.0000006,238662.40000064,205100.50000055,219638.999998
"64",926.5,1062644,3097644,37405,224430,239392,205727.5,220324.000002
"65",927,1081375,3116375,37519,225114,240121.6,206354.5,221007.999996
"66",927.5,1100163,3135163,37633,225798,240851.2,206981.5,221692.000002
"67",928,1119008,3154008,37746.9999999,226481.9999994,241580.79999936,207608.49999945,222377.000002
"68",928.5,1137910,3172910,37860.9999999,227165.9999994,242310.39999936,208235.49999945,223060.999999
"69",929,1156869,3191869,37975.0000001,227850.0000006,243040.00000064,208862.50000055,223745.999998
"70",929.5,1175885,3210885,38089.0000001,228534.0000006,243769.60000064,209489.50000055,224430.000003
"71",930,1194958,3229958,38203,229218,244499.2,210116.5,225114.000004
"72",930.5,1214089,3249089,38319.9999999,229919.9999994,245247.99999936,210759.99999945,225799
"73",931,1233278,3268278,38435.9999999,230615.9999994,245990.39999936,211397.99999945,226485
"74",931.5,1252525,3287525,38551.9999999,231311.9999994,246732.79999936,212035.99999945,227172
"75",932,1271830,3306830,38667.9999999,232007.9999994,247475.19999936,212673.99999945,227860
"76",932.5,1291193,3326193,38783.9999999,232703.9999994,248217.59999936,213311.99999945,228549
"77",933,1310614,3345614,38899.9999999,233399.9999994,248959.99999936,213949.99999945,229239
"78",933.5,1330093,3365093,39015.9999999,234095.9999994,249702.39999936,214587.99999945,229930
"79",934,1349630,3384630,39133.0000001,234798.0000006,250451.20000064,215231.50000055,230622
"80",934.5,1369226,3404226,39249.0000001,235494.0000006,251193.60000064,215869.50000055,231316
"81",935,1388879,3423879,39365.0000001,236190.0000006,251936.00000064,216507.50000055,232010
"82",935.5,1408591,3443591,39481.0000001,236886.0000006,252678.40000064,217145.50000055,232706
"83",936,1428360,3463360,39597.0000001,237582.0000006,253420.80000064,217783.50000055,233402
"84",936.5,1448188,3483188,39713.0000001,238278.0000006,254163.20000064,218421.50000055,234099
"85",937,1468074,3503074,39830,238980,254912,219065,234796
"86",937.5,1488018,3523018,39946,239676,255654.4,219703,235493
"87",938,1508019,3543019,40062,240372,256396.8,220341,236189
"88",938.5,1528079,3563079,40178,241068,257139.2,220979,236886
"89",939,1548198,3583198,40294,241764,257881.6,221617,237584
"90",939.5,1568374,3603374,40410,242460,258624,222255,238281
"91",940,1588608,3623608,40527.0000001,243162.0000006,259372.80000064,222898.50000055,238978
"92",940.5,1608900,3643900,40644,243864,260121.6,223542,239674
"93",941,1629251,3664251,40760.9999999,244565.9999994,260870.39999936,224185.49999945,240372
"94",941.5,1649661,3684661,40878,245268,261619.2,224829,241070
"95",942,1670130,3705130,40994.9999999,245969.9999994,262367.99999936,225472.49999945,241770
"96",942.5,1690656,3725656,41112.0000001,246672.0000006,263116.80000064,226116.00000055,242468
"97",943,1711242,3746242,41229,247374,263865.6,226759.5,243168
"98",943.5,1731886,3766886,41346.0000001,248076.0000006,264614.40000064,227403.00000055,243868
"99",944,1752588,3787588,41463,248778,265363.2,228046.5,244569
"100",944.5,1773349,3808349,41581,249486,266118.4,228695.5,245270
"101",945,1794169,3829169,41697.9999999,250187.9999994,266867.19999936,229338.99999945,245971
"102",945.5,1815047,3850047,41815.0000001,250890.0000006,267616.00000064,229982.50000055,246673
"103",946,1835984,3870984,41932,251592,268364.8,230626,247376
"104",946.5,1856979,3891979,42048.9999999,252293.9999994,269113.59999936,231269.49999945,248079
"105",947,1878033,3913033,42166,252996,269862.4,231913,248782
"106",947.5,1899145,3934145,42282.9999999,253697.9999994,270611.19999936,232556.49999945,249484
"107",948,1920316,3955316,42400.0000001,254400.0000006,271360.00000064,233200.00000055,250186
"108",948.5,1941545,3976545,42518.0000001,255108.0000006,272115.20000064,233849.00000055,250889
"109",949,1962834,3997834,42635,255810,272864,234492.5,251592
"110",949.5,1984180,4019180,42751.9999999,256511.9999994,273612.79999936,235135.99999945,252294
"111",950,2005585,4040585,42869,257214,274361.6,235779.5,252997
"112",950.5,2027052,4062052,42999.0000001,257994.0000006,275193.60000064,236494.50000055,253703
"113",951,2048584,4083584,43127.9999999,258767.9999994,276019.19999936,237203.99999945,254415
"114",951.5,2070180,4105180,43258,259548,276851.2,237919,255133
"115",952,2091842,4126842,43387.0000001,260322.0000006,277676.80000064,238628.50000055,255858
"116",952.5,2113568,4148568,43517.0000001,261102.0000006,278508.80000064,239343.50000055,256589
"117",953,2135358,4170358,43646.9999999,261881.9999994,279340.79999936,240058.49999945,257325
"118",953.5,2157214,4192214,43776,262656,280166.4,240768,258069
"119",954,2179135,4214135,43906,263436,280998.4,241483,258819
"120",954.5,2201120,4236120,44034.9999999,264209.9999994,281823.99999936,242192.49999945,259575
"121",955,2223170,4258170,44164.9999999,264989.9999994,282655.99999936,242907.49999945,260336
"122",955.5,2245285,4280285,44294.9999999,265769.9999994,283487.99999936,243622.49999945,261105
"123",956,2267464,4302464,44424.0000001,266544.0000006,284313.60000064,244332.00000055,261879
"124",956.5,2289709,4324709,44554.0000001,267324.0000006,285145.60000064,245047.00000055,262657
"125",957,2312018,4347018,44683,268098,285971.2,245756.5,263434
"126",957.5,2334392,4369392,44813,268878,286803.2,246471.5,264212
"127",958,2356831,4391831,44943,269658,287635.2,247186.5,264989
"128",958.5,2379335,4414335,45071.9999999,270431.9999994,288460.79999936,247895.99999945,265767
"129",959,2401903,4436903,45201.9999999,271211.9999994,289292.79999936,248610.99999945,266545
"130",959.5,2424536,4459536,45331,271986,290118.4,249320.5,267322
"131",960,2447235,4482235,45461.0000001,272766.0000006,290950.40000064,250035.50000055,268100
"132",960.5,2469995,4504995,45580,273480,291712,250690,268875
"133",961,2492815,4527815,45700.0000001,274200.0000006,292480.00000064,251350.00000055,269645
"134",961.5,2515695,4550695,45819,274914,293241.6,252004.5,270410
"135",962,2538634,4573634,45937.9999999,275627.9999994,294003.19999936,252658.99999945,271170
"136",962.5,2561633,4596633,46056.9999999,276341.9999994,294764.79999936,253313.49999945,271924
"137",963,2584691,4619691,46177,277062,295532.8,253973.5,272673
"138",963.5,2607809,4642809,46295.9999999,277775.9999994,296294.39999936,254627.99999945,273417
"139",964,2630987,4665987,46415.0000001,278490.0000006,297056.00000064,255282.50000055,274156
"140",964.5,2654225,4689225,46534,279204,297817.6,255937,274890
"141",965,2677522,4712522,46654.0000001,279924.0000006,298585.60000064,256597.00000055,275619
"142",965.5,2700878,4735878,46773,280638,299347.2,257251.5,276342
"143",966,2724295,4759295,46892,281352,300108.8,257906,277060
"144",966.5,2747771,4782771,47012,282072,300876.8,258566,277776
"145",967,2771306,4806306,47131,282786,301638.4,259220.5,278491
"146",967.5,2794901,4829901,47249.9999999,283499.9999994,302399.99999936,259874.99999945,279206
"147",968,2818556,4853556,47369.0000001,284214.0000006,303161.60000064,260529.50000055,279922
"148",968.5,2842271,4877271,47488.9999999,284933.9999994,303929.59999936,261189.49999945,280638
"149",969,2866046,4901046,47608.0000001,285648.0000006,304691.20000064,261844.00000055,281355
"150",969.5,2889878,4924878,47727,286362,305452.8,262498.5,282069
"151",970,2913772,4948772,47847.0000001,287082.0000006,306220.80000064,263158.50000055,282785
"152",970.5,2937729,4972729,47981,287886,307078.4,263895.5,283504
"153",971,2961753,4996753,48113.9999999,288683.9999994,307929.59999936,264626.99999945,284231
"154",971.5,2985843,5020843,48248,289488,308787.2,265364,284965
"155",972,3010001,5045001,48382.0000001,290292.0000006,309644.80000064,266101.00000055,285706
"156",972.5,3034226,5069226,48516,291096,310502.4,266838,286455
"157",973,3058517,5093517,48650.0000001,291900.0000006,311360.00000064,267575.00000055,287211
"158",973.5,3082876,5117876,48783.9999999,292703.9999994,312217.59999936,268311.99999945,287975
"159",974,3107301,5142301,48918,293508,313075.2,269049,288745
"160",974.5,3131794,5166794,49052.0000001,294312.0000006,313932.80000064,269786.00000055,289523
"161",975,3156353,5191353,49186,295116,314790.4,270523,290307
"162",975.5,3180979,5215979,49320.0000001,295920.0000006,315648.00000064,271260.00000055,291101
"163",976,3205673,5240673,49453.9999999,296723.9999994,316505.59999936,271996.99999945,291901
"164",976.5,3230433,5265433,49587.0000001,297522.0000006,317356.80000064,272728.50000055,292704
"165",977,3255260,5290260,49721,298326,318214.4,273465.5,293507
"166",977.5,3280154,5315154,49855.0000001,299130.0000006,319072.00000064,274202.50000055,294311
"167",978,3305115,5340115,49988.9999999,299933.9999994,319929.59999936,274939.49999945,295114
"168",978.5,3330143,5365143,50123,300738,320787.2,275676.5,295917
"169",979,3355238,5390238,50257.0000001,301542.0000006,321644.80000064,276413.50000055,296721
"170",979.5,3380401,5415401,50391,302346,322502.4,277150.5,297525
"171",980,3405630,5440630,50525.0000001,303150.0000006,323360.00000064,277887.50000055,298329
"172",980.5,3430929,5465929,50674.0000001,304044.0000006,324313.60000064,278707.00000055,299135
"173",981,3456303,5491303,50824,304944,325273.6,279532,299950
"174",981.5,3481753,5516753,50973.9999999,305843.9999994,326233.59999936,280356.99999945,300774
"175",982,3507278,5542278,51122.9999999,306737.9999994,327187.19999936,281176.49999945,301605
"176",982.5,3532877,5567877,51273.0000001,307638.0000006,328147.20000064,282001.50000055,302444
"177",983,3558550,5593550,51423,308538,329107.2,282826.5,303290
"178",983.5,3584299,5619299,51572,309432,330060.8,283646,304145
"179",984,3610123,5645123,51721.9999999,310331.9999994,331020.79999936,284470.99999945,305008
"180",984.5,3636021,5671021,51872.0000001,311232.0000006,331980.80000064,285296.00000055,305878
"181",985,3661994,5696994,52021.0000001,312126.0000006,332934.40000064,286115.50000055,306756
"182",985.5,3688042,5723042,52171,313026,333894.4,286940.5,307641
"183",986,3714165,5749165,52320.9999999,313925.9999994,334854.39999936,287765.49999945,308535
"184",986.5,3740363,5775363,52469.9999999,314819.9999994,335807.99999936,288584.99999945,309434
"185",987,3766635,5801635,52620.0000001,315720.0000006,336768.00000064,289410.00000055,310332
"186",987.5,3792982,5827982,52769.0000001,316614.0000006,337721.60000064,290229.50000055,311229
"187",988,3819405,5854405,52919,317514,338681.6,291054.5,312127
"188",988.5,3845902,5880902,53068.9999999,318413.9999994,339641.59999936,291879.49999945,313025
"189",989,3872474,5907474,53217.9999999,319307.9999994,340595.19999936,292698.99999945,313924
"190",989.5,3899120,5934120,53368.0000001,320208.0000006,341555.20000064,293524.00000055,314821
"191",990,3925842,5960842,53518,321108,342515.2,294349,315719
"192",990.5,3952636,5987636,53660,321960,343424,295130,316615
"193",991,3979502,6014502,53802.9999999,322817.9999994,344339.19999936,295916.49999945,317508
"194",991.5,4006440,6041440,53946.0000001,323676.0000006,345254.40000064,296703.00000055,318398
"195",992,4033448,6068448,54089,324534,346169.6,297489.5,319283
"196",992.5,4060528,6095528,54232.0000001,325392.0000006,347084.80000064,298276.00000055,320165
"197",993,4087680,6122680,54375,326250,348000,299062.5,321045
"198",993.5,4114903,6149903,54517,327102,348908.8,299843.5,321921
"199",994,4142198,6177198,54659.9999999,327959.9999994,349823.99999936,300629.99999945,322793
"200",994.5,4169563,6204563,54803.0000001,328818.0000006,350739.20000064,301416.50000055,323661
"201",995,4197001,6232001,54946,329676,351654.4,302203,324527
"202",995.5,4224510,6259510,55089.0000001,330534.0000006,352569.60000064,302989.50000055,325390
"203",996,4252089,6287089,55232,331392,353484.8,303776,326247
"204",996.5,4279741,6314741,55374,332244,354393.6,304557,327105
"205",997,4307464,6342464,55516.9999999,333101.9999994,355308.79999936,305343.49999945,327962
"206",997.5,4335258,6370258,55660.0000001,333960.0000006,356224.00000064,306130.00000055,328818
"207",998,4363125,6398125,55803,334818,357139.2,306916.5,329677
"208",998.5,4391061,6426061,55946.0000001,335676.0000006,358054.40000064,307703.00000055,330533
"209",999,4419070,6454070,56089,336534,358969.6,308489.5,331390
"210",999.5,4447150,6482150,56231,337386,359878.4,309270.5,332247
"211",1000,4475301,6510301,56373.9999999,338243.9999994,360793.59999936,310056.99999945,333103
"212",1000.5,4503527,6538527,56529,339174,361785.6,310909.5,333964
"213",1001,4531830,6566830,56683.9999999,340103.9999994,362777.59999936,311761.99999945,334829
"214",1001.5,4560212,6595212,56839.0000001,341034.0000006,363769.60000064,312614.50000055,335702
"215",1002,4588670,6623670,56995.0000001,341970.0000006,364768.00000064,313472.50000055,336581
"216",1002.5,4617206,6652206,57150,342900,365760,314325,337465
"217",1003,4645820,6680820,57305.0000001,343830.0000006,366752.00000064,315177.50000055,338356
"218",1003.5,4674511,6709511,57460,344760,367744,316030,339253
"219",1004,4703279,6738279,57615.0000001,345690.0000006,368736.00000064,316882.50000055,340154
"220",1004.5,4732126,6767126,57770,346620,369728,317735,341065
"221",1005,4761049,6796049,57925.0000001,347550.0000006,370720.00000064,318587.50000055,341979
"222",1005.5,4790050,6825050,58080,348480,371712,319440,342900
"223",1006,4819129,6854129,58234.9999999,349409.9999994,372703.99999936,320292.49999945,343828
"224",1006.5,4848286,6883286,58390,350340,373696,321145,344759
"225",1007,4877519,6912519,58544.9999999,351269.9999994,374687.99999936,321997.49999945,345689
"226",1007.5,4906831,6941831,58700,352200,375680,322850,346619
"227",1008,4936219,6971219,58854.9999999,353129.9999994,376671.99999936,323702.49999945,347549
"228",1008.5,4965686,7000686,59010,354060,377664,324555,348480
"229",1009,4995230,7030230,59164.9999999,354989.9999994,378655.99999936,325407.49999945,349410
"230",1009.5,5024851,7059851,59320.0000001,355920.0000006,379648.00000064,326260.00000055,350340
"231",1010,5054550,7089550,59474.9999999,356849.9999994,380639.99999936,327112.49999945,351271
"232",1010.5,5084326,7119326,59628,357768,381619.2,327954,352200
"233",1011,5114179,7149179,59780.9999999,358685.9999994,382598.39999936,328795.49999945,353130
"234",1011.5,5144107,7179107,59934,359604,383577.6,329637,354057
"235",1012,5174113,7209113,60087.0000001,360522.0000006,384556.80000064,330478.50000055,354984
"236",1012.5,5204194,7239194,60239.9999999,361439.9999994,385535.99999936,331319.99999945,355908
"237",1013,5234353,7269353,60393,362358,386515.2,332161.5,356834
"238",1013.5,5264587,7299587,60546.0000001,363276.0000006,387494.40000064,333003.00000055,357756
"239",1014,5294898,7329898,60698.9999999,364193.9999994,388473.59999936,333844.49999945,358679
"240",1014.5,5325286,7360286,60850.9999999,365105.9999994,389446.39999936,334680.49999945,359600
"241",1015,5355750,7390750,61004,366024,390425.6,335522,360520
"242",1015.5,5386290,7421290,61157.0000001,366942.0000006,391404.80000064,336363.50000055,361439
"243",1016,5416907,7451907,61309.9999999,367859.9999994,392383.99999936,337204.99999945,362357
"244",1016.5,5447600,7482600,61463,368778,393363.2,338046.5,363274
"245",1017,5478370,7513370,61616.0000001,369696.0000006,394342.40000064,338888.00000055,364191
"246",1017.5,5509216,7544216,61768.9999999,370613.9999994,395321.59999936,339729.49999945,365109
"247",1018,5540139,7575139,61922,371532,396300.8,340571,366026
"248",1018.5,5571138,7606138,62074.9999999,372449.9999994,397279.99999936,341412.49999945,366944
"249",1019,5602213,7637213,62227.0000001,373362.0000006,398252.80000064,342248.50000055,367860
"250",1019.5,5633365,7668365,62379.9999999,374279.9999994,399231.99999936,343089.99999945,368778
"251",1020,5664593,7699593,62533,375198,400211.2,343931.5,369695
"252",1020.5,5695898,7730898,62687.9999999,376127.9999994,401203.19999936,344783.99999945,370612
"253",1021,5727281,7762281,62841.9999999,377051.9999994,402188.79999936,345630.99999945,371531
"254",1021.5,5758741,7793741,62997,377982,403180.8,346483.5,372451
"255",1022,5790278,7825278,63151,378906,404166.4,347330.5,373371
"256",1022.5,5821892,7856892,63305.9999999,379835.9999994,405158.39999936,348182.99999945,374292
"257",1023,5853583,7888583,63460.0000001,380760.0000006,406144.00000064,349030.00000055,375213
"258",1023.5,5885352,7920352,63615,381690,407136,349882.5,376136
"259",1024,5917198,7952198,63769,382614,408121.6,350729.5,377059
"260",1024.5,5949121,7984121,63923.9999999,383543.9999994,409113.59999936,351581.99999945,377983
"261",1025,5981122,8016122,64078.0000001,384468.0000006,410099.20000064,352429.00000055,378909
"262",1025.5,6013200,8048200,64233,385398,411091.2,353281.5,379835
"263",1026,6045355,8080355,64387,386322,412076.8,354128.5,380762
